study_accession	sample_accession	experiment_accession	run_accession	library_strategy	read_count	experiment_title	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sra_aspera	sample_alias	sample_title
PRJEB6070	SAMEA2466962	ERX444845	ERR479013	WGS	11015651	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479013/ERR479013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479013/ERR479013_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479013/ERR479013_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479013/ERR479013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479013/CCIS11019776ST-4-0_11s002735-1-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479013/CCIS11019776ST-4-0_11s002735-1-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479013	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479013	CCIS11019776ST-4-0	Human stool sample
PRJEB6070	SAMEA2467025	ERX444846	ERR479014	WGS	7137656	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479014/ERR479014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479014/ERR479014_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479014/ERR479014_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479014/ERR479014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479014/CCIS11354283ST-4-0_13s007964-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479014/CCIS11354283ST-4-0_13s007964-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479014	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479014	CCIS11354283ST-4-0	Human stool sample
PRJEB6070	SAMEA2467025	ERX444847	ERR479015	WGS	7143199	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479015/ERR479015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479015/ERR479015_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479015/ERR479015_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479015/ERR479015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479015/CCIS11354283ST-4-0_13s007964-2-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479015/CCIS11354283ST-4-0_13s007964-2-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479015	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479015	CCIS11354283ST-4-0	Human stool sample
PRJEB6070	SAMEA2467025	ERX444848	ERR479016	WGS	7097354	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479016/ERR479016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479016/ERR479016_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479016/ERR479016_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479016/ERR479016_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479016/CCIS11354283ST-4-0_13s007964-3-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479016/CCIS11354283ST-4-0_13s007964-3-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479016	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479016	CCIS11354283ST-4-0	Human stool sample
PRJEB6070	SAMEA2467025	ERX444849	ERR479017	WGS	7038990	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479017/ERR479017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479017/ERR479017_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479017/ERR479017_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479017/ERR479017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479017/CCIS11354283ST-4-0_13s007964-4-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479017/CCIS11354283ST-4-0_13s007964-4-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479017	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479017	CCIS11354283ST-4-0	Human stool sample
PRJEB6070	SAMEA2466940	ERX444850	ERR479018	WGS	10448856	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479018/ERR479018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479018/ERR479018_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479018/ERR479018_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479018/ERR479018_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479018/CCIS11362406ST-4-0_12s006334-1-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479018/CCIS11362406ST-4-0_12s006334-1-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479018	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479018	CCIS11362406ST-4-0	Human stool sample
PRJEB6070	SAMEA2466940	ERX444851	ERR479019	WGS	11841226	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479019/ERR479019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479019/ERR479019_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479019/ERR479019_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479019/ERR479019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479019/CCIS11362406ST-4-0_12s006334-2-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479019/CCIS11362406ST-4-0_12s006334-2-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479019	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479019	CCIS11362406ST-4-0	Human stool sample
PRJEB6070	SAMEA2466940	ERX444852	ERR479020	WGS	12074177	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479020/ERR479020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479020/ERR479020_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479020/ERR479020_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479020/ERR479020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479020/CCIS11362406ST-4-0_12s006334-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479020/CCIS11362406ST-4-0_12s006334-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479020	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479020	CCIS11362406ST-4-0	Human stool sample
PRJEB6070	SAMEA2466940	ERX444853	ERR479021	WGS	12210154	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479021/ERR479021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479021/ERR479021_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479021/ERR479021_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479021/ERR479021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479021/CCIS11362406ST-4-0_12s006334-2-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479021/CCIS11362406ST-4-0_12s006334-2-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479021	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479021	CCIS11362406ST-4-0	Human stool sample
PRJEB6070	SAMEA2467010	ERX444854	ERR479022	WGS	9347925	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479022/ERR479022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479022/ERR479022_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479022/ERR479022_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479022/ERR479022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479022/CCIS11558985ST-4-0_11s002758-1-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479022/CCIS11558985ST-4-0_11s002758-1-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479022	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479022	CCIS11558985ST-4-0	Human stool sample
PRJEB6070	SAMEA2467010	ERX444855	ERR479023	WGS	8132690	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479023/ERR479023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479023/ERR479023_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479023/ERR479023_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479023/ERR479023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479023/CCIS11558985ST-4-0_11s002758-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479023/CCIS11558985ST-4-0_11s002758-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479023	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479023	CCIS11558985ST-4-0	Human stool sample
PRJEB6070	SAMEA2467000	ERX444856	ERR479024	WGS	629462	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479024/ERR479024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479024/ERR479024_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479024/ERR479024_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479024/ERR479024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479024/CCIS12370844ST-4-0_11s002754-1-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479024/CCIS12370844ST-4-0_11s002754-1-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479024	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479024	CCIS12370844ST-4-0	Human stool sample
PRJEB6070	SAMEA2467000	ERX444857	ERR479025	WGS	569180	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479025/ERR479025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479025/ERR479025_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479025/ERR479025_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479025/ERR479025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479025/CCIS12370844ST-4-0_11s002754-1-1_lane6.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479025/CCIS12370844ST-4-0_11s002754-1-1_lane6.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479025	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479025	CCIS12370844ST-4-0	Human stool sample
PRJEB6070	SAMEA2467000	ERX444858	ERR479026	WGS	365987	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479026/ERR479026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479026/ERR479026_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479026/ERR479026_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479026/ERR479026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479026/CCIS12370844ST-4-0_11s002754-1-2_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479026/CCIS12370844ST-4-0_11s002754-1-2_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479026	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479026	CCIS12370844ST-4-0	Human stool sample
PRJEB6070	SAMEA2467000	ERX444859	ERR479027	WGS	353423	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479027/ERR479027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479027/ERR479027_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479027/ERR479027_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479027/ERR479027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479027/CCIS12370844ST-4-0_11s002754-1-2_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479027/CCIS12370844ST-4-0_11s002754-1-2_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479027	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479027	CCIS12370844ST-4-0	Human stool sample
PRJEB6070	SAMEA2467000	ERX444860	ERR479028	WGS	63941	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479028/ERR479028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479028/ERR479028_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479028/ERR479028_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479028/ERR479028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479028/CCIS12370844ST-4-0_11s002754-1-3_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479028/CCIS12370844ST-4-0_11s002754-1-3_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479028	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479028	CCIS12370844ST-4-0	Human stool sample
PRJEB6070	SAMEA2466973	ERX444861	ERR479029	WGS	5427153	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479029/ERR479029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479029/ERR479029_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479029/ERR479029_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479029/ERR479029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479029/CCIS12656533ST-4-0_12s006258-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479029/CCIS12656533ST-4-0_12s006258-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479029	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479029	CCIS12656533ST-4-0	Human stool sample
PRJEB6070	SAMEA2466973	ERX444862	ERR479030	WGS	5426149	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479030/ERR479030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479030/ERR479030_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479030/ERR479030_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479030/ERR479030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479030/CCIS12656533ST-4-0_12s006258-1-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479030/CCIS12656533ST-4-0_12s006258-1-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479030	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479030	CCIS12656533ST-4-0	Human stool sample
PRJEB6070	SAMEA2466973	ERX444863	ERR479031	WGS	5027968	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479031/ERR479031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479031/ERR479031_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479031/ERR479031_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479031/ERR479031_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479031/CCIS12656533ST-4-0_12s006258-1-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479031/CCIS12656533ST-4-0_12s006258-1-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479031	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479031	CCIS12656533ST-4-0	Human stool sample
PRJEB6070	SAMEA2466973	ERX444864	ERR479032	WGS	5412520	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479032/ERR479032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479032/ERR479032_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479032/ERR479032_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479032/ERR479032_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479032/CCIS12656533ST-4-0_12s006258-2-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479032/CCIS12656533ST-4-0_12s006258-2-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479032	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479032	CCIS12656533ST-4-0	Human stool sample
PRJEB6070	SAMEA2467011	ERX444865	ERR479033	WGS	7418884	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479033/ERR479033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479033/ERR479033_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479033/ERR479033_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479033/ERR479033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479033/CCIS13047523ST-4-0_13s007942-1-1_lane1.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479033/CCIS13047523ST-4-0_13s007942-1-1_lane1.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479033	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479033	CCIS13047523ST-4-0	Human stool sample
PRJEB6070	SAMEA2467011	ERX444866	ERR479034	WGS	7339758	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479034/ERR479034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479034/ERR479034_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479034/ERR479034_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479034/ERR479034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479034/CCIS13047523ST-4-0_13s007942-2-1_lane2.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479034/CCIS13047523ST-4-0_13s007942-2-1_lane2.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479034	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479034	CCIS13047523ST-4-0	Human stool sample
PRJEB6070	SAMEA2467011	ERX444867	ERR479035	WGS	7411055	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479035/ERR479035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479035/ERR479035_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479035/ERR479035_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479035/ERR479035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479035/CCIS13047523ST-4-0_13s007942-3-1_lane3.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479035/CCIS13047523ST-4-0_13s007942-3-1_lane3.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479035	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479035	CCIS13047523ST-4-0	Human stool sample
PRJEB6070	SAMEA2467011	ERX444868	ERR479036	WGS	7388197	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479036/ERR479036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479036/ERR479036_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479036/ERR479036_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479036/ERR479036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479036/CCIS13047523ST-4-0_13s007942-4-1_lane5.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479036/CCIS13047523ST-4-0_13s007942-4-1_lane5.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479036	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479036	CCIS13047523ST-4-0	Human stool sample
PRJEB6070	SAMEA2466941	ERX444869	ERR479037	WGS	12230060	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479037/ERR479037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479037/ERR479037_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479037/ERR479037_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479037/ERR479037_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479037/CCIS14449628ST-4-0_11s002742-1-1_lane7.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479037/CCIS14449628ST-4-0_11s002742-1-1_lane7.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479037	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479037	CCIS14449628ST-4-0	Human stool sample
PRJEB6070	SAMEA2466941	ERX444870	ERR479038	WGS	10137225	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479038/ERR479038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/ERR479038/ERR479038_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479038/ERR479038_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479038/ERR479038_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479038/CCIS14449628ST-4-0_11s002742-1-1_lane8.screened.adapter.screened.hg19.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR479/ERR479038/CCIS14449628ST-4-0_11s002742-1-1_lane8.screened.adapter.screened.hg19.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR479/ERR479038	fasp.sra.ebi.ac.uk:/vol1/err/ERR479/ERR479038	CCIS14449628ST-4-0	Human stool sample
